id,name,elem
1058418,白石かんな,2.0834675
1053422,飯山香織,-2.0197933
15570,KAORI,-2.033183
1038172,さくらい麻乃,2.899484
1048872,赤渕蓮,2.6216702
1014279,新山かえで,4.2952614
1064050,星優香,-2.989294
1018026,古川いおり,-3.5243795
1055895,吉岡ひより,0.63613474
1042035,北川礼子,-1.7470504
1035596,黒木いくみ,-0.55636925
1046112,星あめり,2.8274095
1044814,相沢夏帆,1.2951396
1065651,逢坂りの,1.7607225
1065526,初愛ねんね,1.2698148
1060916,田原凛花,-0.44949612
1020504,白石茉莉奈,-0.66377836
1060592,希代あみ,-1.3593528
1034081,さくらみゆき,-0.13114788
1049172,若宮穂乃,2.3945918
1055231,有栖いおり,1.1145644
1048559,森下美怜,1.5739609
1046172,はるかみらい,1.4264637
1030985,鮎原いつき,-3.5113847
1053420,竹内有紀,2.4296653
1027757,久我かのん,-1.5064558
1051349,福山いろは,-4.322544
1042119,桜もこ,0.15783189
1046149,七海ティナ,2.7583604
1029696,三喜本のぞみ,-2.3628662
1053041,早美れむ,-0.0966419
1057837,七瀬いおり,-2.558266
1063276,天使ゆら,0.74093133
1023710,土屋あさみ,1.1261294
1030527,水谷あおい,-2.6766236
1013376,橘芹那,-1.1738605
1047077,茉莉ひな,0.91799265
1062521,福富りょう,-4.09262
1042129,七沢みあ,1.75906
1064000,高梨有紗,1.7803116
1062309,西田那津,3.7448974
1034298,神坂ひなの,2.7554162
1051751,森本つぐみ,2.607769
1041963,桐谷なお,1.9413216
1034927,佐倉ねね,-2.300745
1019300,水野朝陽,1.1935449
26820,桜井千春,1.5380664
1053517,知花凛,-1.1739622
1059492,竹内夏希,0.033330247
1051794,根尾あかり,0.36609766
1058572,清音咲良,0.94998646
1057914,花宮あむ,-2.9962134
1030118,折原ほのか,-1.0506653
1033119,今井真由美,-1.3933072
1041897,神宮寺ナオ,1.8371959
1028545,佐藤ゆか,1.8759495
1044547,逢沢りいな,-1.3544352
1047250,米倉穂香,-2.6890538
1042465,川田みはる（三田杏）,2.5992515
1041522,海空花,0.68775743
1038345,すみれ美香,-0.05620179
1060530,美倉あやみ,2.5180573
1063722,凪沙ゆきの,1.2045684
1068671,北野未奈,3.0922215
1058839,中山琴葉,-0.5962308
1060673,心実るな,-0.09391275
1064214,平井栞奈,-4.6417303
1061586,森日向子,-0.6969128
1066113,篠原りこ,-1.7656441
1047378,夏原唯,2.4329588
1063726,葉月シュリ,-2.5617776
1059553,来まえび,-2.7524917
1006606,蘭々,-0.24146788
1050139,篠崎かんな,-3.4617379
1053256,奏音かのん,-1.0611006
